ID,Sent1,Sent2,Score
1,The foundations of South Africa are built on Nelson Mandela's memory,Australian politicians lament over Nelson Mandela's death,1.3
2,Turkish riot police tear gas Taksim Square protest,Turkish riot police enter Taksim Square,3.0
3,Chicago Shooting Shows Gap in Stepped-up Policing,Chicago shooting shows gap in stepped-up policing,5.0
4,Feds move to require car-to-car safety communication,Guatemala overturns former dictator's genocide conviction,0.0
6,"Ukraine protest leaders name ministers, Russian troops on alert",Ukraine Refuses to Act Against Russian 'Provocation',1.2
7,North Korea shuns offer of talks,North Korea shoots 2 rockets,1.2
9,Prince Charles 'compares Putin to Hitler',Prince Charles 'compares Vladimir Putin to Adolf Hitler',5.0
11,"Malala, Snowden, Belarusians Short-Listed For Sakharov Prize",Fugitive Snowden short-listed for European rights prize,3.6
13,Iran warns against military intervention in Iraq,Explosion near Damascus military airport,0.0
16,Israel PM accuses Iran president of hypocrisy,Greek PM accuses coalition of hypocrisy,1.2
18,"One dead in Philadelphia building collapse, others pulled from rubble",Six confirmed dead after Philadelphia building collapse,3.2
20,Police clash with youth in Cairo after anti-Morsi protest,Egypt: Police clash with pro-Morsi protesters,2.8
21,Top Diplomats Meet in Munich at Critical Time,Top Diplomats Discuss Iran's Nuclear Program,2.4
26,Snowden 'given refugee document by Ecuador',Snowden poised to fly out of Moscow,1.2
27,NA President’s message on the World Press Freedom Day,Pakistan marks World Press Freedom Day,2.2
30,EU foreign ministers to discuss Syria arms embargo,EU foreign ministers seek solution on Syria arms,3.6
33,Death toll from Philippine earthquake rises to 185,Death toll from Philippines quake rises to 144,3.6
34,Stocks to watch at close on Monday,Stocks to watch on Monday,4.0
35,Army jets kill 38 militants in NW Pakistan air raids,U.S. drone kills 4 militants in Pakistan,3.2
40,Egyptian police fire tear gas at protesters in Cairo,Police fire tear gas at protesters in Cairo,4.0
41,ElBaradei to Become Egyptian PM,"Liberal ElBaradei named Egypt PM, Islamists cry foul",3.2
45,Philippines holds second senator over corruption,Philippines recovering after powerful typhoon,1.4
48,German envoy optimistic about Iran-G5+1 talks,Iran 'cautiously optimistic' about future nuclear talks,1.4
49,Renowned Spanish flamenco guitarist Paco De Lucia dies,Spanish flamenco guitarist Paco de Lucia dies at 66,4.6
51,Chinese icebreaker changes course towards suspicious objects,Chinese search plane finds 'suspicious objects',2.0
53,Snowden Hits Hurdles in Search for Asylum,Snowden's hits hurdles in search for asylum,5.0
57,Death toll in building collapse in south India mounts to 47,4 killed in building collapse in southern India,2.8
58,Pakistan imposes temporary ban on 2 TV channels,Pakistan Dismisses Case against FBI Agent,1.4
60,Palestinian prisoners arrive at Muqata in Ramallah,Pakistani prisoner assaulted in Jammu jail,1.0
61,"10 dead, five injured in SW China road accident",5 hurt in Gaza City car accident,1.0
65,Matt Smith quits BBC’s Doctor Who,Matt Smith quits BBC's Doctor Who,5.0
66,Thai junta amasses security force to smother Bangkok protests,Thai junta security forces stay in barracks as protests dwindle,1.8
68,Aso refuses to resign over Nazi comments,Spanish PM refuses to resign over corruption scandal,0.2
70,Explosions kill 29 outside two mosques in Lebanon's Tripoli,2 explosions rock city in northern Lebanon,2.0
72,Pakistan fighter jets bomb 'Taliban hideouts',Pakistan wants arms supply to Syrian sides stopped,1.6
75,Taiwan's economy grows 2.27% in April-June quarter,China's economic growth rebounds to 7.8% in latest quarter,1.0
77,Gunmen Kill Eight In Second Kenya Attack,Gunmen 'Kill 15' In Second Kenya Attack,3.0
81,U.S. resumes search for missing British sailors after public,US Coast Guard suspends search for missing British sailors,2.4
82,Rescuers scour debris after India buildings collapse,Select images from Bangladesh building collapse,2.2
83,Iraqi Bomb Attacks Kill At Least 13,Iraqi Car Bomb Near Church Kills At Least 14,3.0
85,Tamerlan Tsarnaev buried in Virginia,Boston bomb suspect buried in Virginia cemetery,3.0
86,Egypt forces set to block access to Morsi protest camps,Egyptian forces move to clear pro-Morsi protest camps,2.4
88,Nobel author Doris Lessing dies at 94,Nobel laureate Doris Lessing dies at 94,5.0
89,Japan's opposition party chief criticizes Abe's economic policies,Zimbabwe’s opposition MDC party challenges Robert Mugabe’s election win,0.0
91,3 Suspects Taken Into Custody in Boston Bombing Case,Boston police say 3 taken into custody in Marathon bombing,4.8
95,Ukraine's opposition chief wants more protests,Ukraine protesters topple Lenin statue,2.4
